acc,biosample,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,platform,instrument,bioproject,avgspotlen,mbases,collection_date_sam
SRR8555113,SAMN10908425,Ecuador,South America,ILLUMINA,Illumina HiSeq 2000,PRJNA486009,296,2553,2014-12-12
SRR13060955,SAMN16796236,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA678426,302,55029,
SRR17319392,SAMN24344522,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,300,39782,2017-03-20
SRR8114125,SAMN09837363,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA289586,242,6707,2014-05-28
ERR10960866,SAMEA112710913,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJEB52748,299,11629,
SRR3992988,SAMN05414894,Mongolia,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA328899,300,6637,2013-06-01
SRR10499567,SAMN13292806,Hungary,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,6946,
SRR14000532,SAMN18353429,France,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA715586,245,4246,
SRR5831593,SAMN07357516,Mozambique,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA394687,292,4933,2008-08-23
SRR7227982,SAMN09272211,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,284,2467,2016-12-12
SRR5439745,SAMN06718189,Singapore,Asia,ILLUMINA,Illumina HiSeq 2500,PRJNA382746,500,21658,2016-06-22
ERR4467303,SAMEA7082428,Norway,Europe,ILLUMINA,NextSeq 550,PRJEB36140,287,5676,
DRR070933,SAMD00046815,Indonesia,Asia,ILLUMINA,Illumina HiSeq 2500,PRJDB4525,300,12146,2011-02-01
ERR7745346,SAMEA4969165,Nepal,Asia,ILLUMINA,Illumina NovaSeq 6000,PRJEB49206,281,84604,
SRR10499657,SAMN13292782,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,6611,
ERR6279664,SAMEA8072204,United Kingdom,Europe,ILLUMINA,unspecified,PRJEB43119,293,8792,2019-10-31
SRR5575418,SAMN06909387,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA379120,299,5703,2015-03-27
SRR17048942,SAMN16797007,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,275,2041,2017-09-20
SRR13378565,SAMN17250499,Burkina Faso,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA690543,302,3874,2017-08-01
ERR1729060,SAMEA4545302,Kazakhstan,Asia,ILLUMINA,Illumina HiSeq 2000,PRJEB17632,75,93,2014-11-06
SRR7658611,SAMN09781683,Madagascar,Africa,ILLUMINA,Illumina HiSeq 2500,PRJNA485056,195,545,
SRR10499518,SAMN13292897,Poland,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,4366,
ERR4369866,SAMEA7082362,Norway,Europe,ILLUMINA,NextSeq 550,PRJEB36140,269,16795,
SRR7227920,SAMN09272168,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,288,2038,2016-02-04
SRR17319402,SAMN24344513,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,300,5919,2017-03-20
SRR1161235,SAMN00998693,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2000,PRJNA63661,202,566,
SRR17049021,SAMN16797087,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,253,1053,2017-10-01
ERR1728692,SAMEA4545445,Kazakhstan,Asia,ILLUMINA,Illumina HiSeq 2000,PRJEB17632,75,79,2015-02-11
SRR7227998,SAMN09272188,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,280,3168,2016-01-25
SRR10499642,SAMN13292980,Hungary,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,7061,
SRR13060975,SAMN16796218,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA678426,302,26032,
SRR17048963,SAMN16796970,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,251,968,2017-08-31
SRR17048998,SAMN16796982,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,245,1036,2017-09-06
ERR8263771,SAMEA12675034,uncalculated,uncalculated,ILLUMINA,Illumina NovaSeq 6000,PRJEB50505,268,6151,
SRR1765312,SAMN03287432,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2000,PRJNA237362,202,307,
SRR10499551,SAMN13292729,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,8056,
SRR15343518,SAMN20566178,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,291,1542,2018-03-01
SRR7716237,SAMN06909444,Luxembourg,Europe,ILLUMINA,NextSeq 500,PRJNA379120,280,5832,2015-07-04
ERR7738262,SAMEA4969183,Nepal,Asia,ILLUMINA,Illumina NovaSeq 6000,PRJEB49206,268,23046,
ERR3053451,SAMEA5216048,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,553,1299,
SRR13061005,SAMN16796190,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA678426,302,34449,
SRR16206984,SAMN22065137,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA768833,300,12183,
ERR3053362,SAMEA5216020,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,208,367,
SRR13318516,SAMN17170059,Poland,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA688164,302,63184,2013-09-13
SRR7658623,SAMN09781733,Madagascar,Africa,ILLUMINA,Illumina HiSeq 2500,PRJNA485056,196,4312,
ERR3053354,SAMEA5216126,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,476,1221,
SRR17049017,SAMN16797090,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,249,893,2017-10-01
SRR13378631,SAMN17250439,Burkina Faso,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA690543,302,2711,2017-08-01
SRR15343441,SAMN20566260,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,287,1693,2018-03-01
SRR17319357,SAMN24344483,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,291,3270,2017-03-20
ERR11029259,SAMEA112796050,Latvia,Europe,DNBSEQ,DNBSEQ-G400,PRJEB60097,300,7183,
SRR10499424,SAMN13292938,Serbia,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,7751,
SRR12817623,SAMN16428233,Luxembourg,Europe,ILLUMINA,NextSeq 500,PRJNA595749,271,7156,2015-12-12
SRR12817635,SAMN16428222,Luxembourg,Europe,ILLUMINA,NextSeq 500,PRJNA595749,268,5581,2015-12-12
ERR6634860,SAMEA9561725,Austria,Europe,ILLUMINA,unspecified,PRJEB47061,302,9183,2012-06-01
SRR7227955,SAMN09272230,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,289,2397,2016-07-05
SRR13060977,SAMN16796216,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA678426,302,25370,
SRR15090813,SAMN20123799,Mexico,North America,ILLUMINA,NextSeq 500,PRJNA646512,252,574,
SRR18191165,SAMN26340362,Hungary,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA811494,293,9165,2019-01-31
SRR5831608,SAMN07357512,Mali,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA394687,296,40226,2009-05-07
SRR17048968,SAMN16797135,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,270,2922,2017-10-01
ERR10960903,SAMEA112710950,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJEB52748,298,11124,
ERR10149254,SAMEA111279329,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB55713,302,6458,2020-04-03
SRR7227923,SAMN09272161,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,283,3947,2016-06-30
SRR14000527,SAMN18353433,France,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA715586,245,4472,
SRR7227962,SAMN09272262,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,287,2290,2017-05-04
SRR13318524,SAMN17170052,Poland,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA688164,302,66611,2012-12-11
SRR14000563,SAMN18353459,France,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA715586,245,4447,
SRR7227973,SAMN09272234,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,282,4391,2017-01-13
SRR15343533,SAMN20566164,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,294,1960,2018-03-01
SRR3993020,SAMN05414950,Mongolia,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA328899,293,8434,2010-10-01
SRR14000559,SAMN18353462,France,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA715586,245,4543,
SRR1765566,SAMN03287437,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2000,PRJNA237362,202,690,
SRR5575598,SAMN06909365,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA379120,297,6800,2015-10-01
SRR10870011,SAMN13810507,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2500,PRJNA600269,231,2998,
SRR17048880,SAMN16797063,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,282,2115,2018-09-23
SRR17048951,SAMN16796998,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,273,2301,2017-09-18
ERR3053358,SAMEA5216136,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,477,1427,
SRR10499549,SAMN13292883,Serbia,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,6571,
SRR6060203,SAMN07688532,Indonesia,Asia,ILLUMINA,Illumina HiSeq 2000,PRJNA407815,195,17050,
ERR10149260,SAMEA111279335,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB55713,302,6620,2020-04-03
SRR9988206,SAMN12583222,Ecuador,South America,ILLUMINA,Illumina HiSeq 2000,PRJNA486009,294,1794,2014-08-28
SRR10499618,SAMN13292789,Poland,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,6721,
ERR4370935,SAMEA7082365,Norway,Europe,ILLUMINA,NextSeq 550,PRJEB36140,283,3042,
SRR5275424,SAMN06328456,uncalculated,uncalculated,ILLUMINA,Illumina HiSeq 2500,PRJNA373901,250,7605,2013-01-16
SRR18191155,SAMN26340369,Hungary,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA811494,294,7553,2019-02-26
SRR9988204,SAMN12583238,Ecuador,South America,ILLUMINA,Illumina HiSeq 2000,PRJNA486009,276,2485,2014-08-07
SRR10499480,SAMN13292744,Poland,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,6359,
SRR10499428,SAMN13292934,Hungary,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,9025,
ERR3053435,SAMEA5216034,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,558,780,
SRR17319326,SAMN24344511,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,300,4481,2017-03-20
SRR17048877,SAMN16797066,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,267,2162,2018-09-24
SRR10499498,SAMN13292901,Romania,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,8548,
ERR6618820,SAMEA9561679,Austria,Europe,ILLUMINA,unspecified,PRJEB47061,302,6973,2012-06-01
SRR15343487,SAMN20566218,Democratic Republic of the Congo,Africa,ILLUMINA,NextSeq 500,PRJNA752006,291,1926,2018-03-01
SRR24821427,SAMN35578410,South Korea,Asia,ILLUMINA,Illumina HiSeq 2500,PRJNA979436,502,4708,
ERR2619734,SAMEA4719787,Cameroon,Africa,ILLUMINA,Illumina HiSeq 2000,PRJEB27005,202,5169,2013-10-01
ERR3722007,SAMEA6377485,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB35738,302,10598,2018-08-29
ERR3053483,SAMEA5216077,Norway,Europe,ILLUMINA,Illumina MiSeq,PRJEB29052,480,1034,
SRR10499615,SAMN13292720,Bulgaria,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,7444,
SRR24307430,SAMN34376146,Belgium,Europe,ILLUMINA,Illumina HiSeq X,PRJNA961974,302,632,2022-05-01
SRR17319366,SAMN24344475,France,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA791751,299,9898,2017-03-20
SRR19238544,SAMN21192478,Singapore,Asia,ILLUMINA,Illumina HiSeq 2500,PRJNA726032,502,4531,
SRR24307443,SAMN34376081,Belgium,Europe,ILLUMINA,Illumina HiSeq X,PRJNA961974,302,336,2022-05-01
SRR7228008,SAMN09272193,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 4000,PRJNA473348,286,1950,2017-01-13
SRR19238528,SAMN21192457,Singapore,Asia,ILLUMINA,Illumina HiSeq 2500,PRJNA726032,502,3587,
ERR10077626,SAMEA110645797,Taiwan,Asia,ILLUMINA,HiSeq X Ten,PRJEB55366,302,13894,2019-12-31
SRR10499627,SAMN13292849,Serbia,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,7806,
SRR10499502,SAMN13293026,Romania,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,4558,
SRR21869895,SAMN31248864,Poland,Europe,ILLUMINA,Illumina NovaSeq 6000,PRJNA885289,200,5303,2020-05-30
ERR10077756,SAMEA110645781,Taiwan,Asia,ILLUMINA,HiSeq X Ten,PRJEB55366,302,9103,2018-10-10
SRR14000501,SAMN18353486,France,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA715586,245,4519,
ERR3015727,SAMEA5192863,United Kingdom,Europe,ILLUMINA,Illumina HiSeq 2500,PRJEB30307,502,5628,2017-01-23
ERR10077398,SAMEA110645763,Taiwan,Asia,ILLUMINA,HiSeq X Ten,PRJEB55366,302,8467,2019-08-16
SRR10499736,SAMN13292952,Romania,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,4313,
SRR10499503,SAMN13293025,Romania,Europe,ILLUMINA,Illumina HiSeq 2000,PRJNA589866,202,8541,
SRR9988208,SAMN12583224,Ecuador,South America,ILLUMINA,Illumina HiSeq 2000,PRJNA486009,271,2504,2014-07-24
SRR5575408,SAMN06909369,Luxembourg,Europe,ILLUMINA,Illumina HiSeq 2500,PRJNA379120,297,3954,2015-03-25
SRR13378564,SAMN17250500,Burkina Faso,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJNA690543,302,8074,2017-08-01
ERR10149261,SAMEA111279336,South Korea,Asia,ILLUMINA,Illumina HiSeq 4000,PRJEB55713,302,6684,2020-04-03
SRR3992978,SAMN05414911,Mongolia,Asia,ILLUMINA,Illumina HiSeq 4000,PRJNA328899,282,9027,2013-06-01
SRR17048907,SAMN16797038,South Africa,Africa,ILLUMINA,Illumina HiSeq 4000,PRJNA678454,281,1159,2017-10-12
ERR1729313,SAMEA4545303,Kazakhstan,Asia,ILLUMINA,Illumina HiSeq 2000,PRJEB17632,73,90,2015-02-04
ERR4467688,SAMEA7082429,Norway,Europe,ILLUMINA,NextSeq 550,PRJEB36140,286,2785,
ERR6634882,SAMEA9561751,Austria,Europe,ILLUMINA,unspecified,PRJEB47061,302,7227,2012-06-01
SRR6060195,SAMN07688540,Indonesia,Asia,ILLUMINA,Illumina HiSeq 2000,PRJNA407815,189,14172,
ERR6279644,SAMEA8072223,United Kingdom,Europe,ILLUMINA,unspecified,PRJEB43119,297,6586,2016-08-15
ERR10960945,SAMEA112710992,Kenya,Africa,ILLUMINA,Illumina NovaSeq 6000,PRJEB52748,296,7164,
ERR1728897,SAMEA4545326,Kazakhstan,Asia,ILLUMINA,Illumina HiSeq 2000,PRJEB17632,82,114,2014-11-13
